bridge_id,degree,num_neighbors,component_increase,disconnected_nodes,k_hop_nodes,indirect_damage_score
BR_0407,2102,2102,0,0,2125,17.55837118495498
BR_0204,2083,2083,0,0,2146,17.541995378117782
BR_0206,2082,2082,0,0,2145,17.533668021356284
BR_0205,2077,2077,0,0,2137,17.481392939676468
BR_0290,2062,2062,0,0,2112,17.321021595346245
BR_0387,2061,2061,0,0,2100,17.273687146386166
BR_0614,2025,2025,0,0,2075,17.01290939517093
BR_0203,2010,2010,0,0,2061,16.891545143039284
BR_0475,1972,1972,0,0,2023,16.575105586102477
BR_0478,1876,1876,14,14,1940,16.57136676616461
BR_0202,1971,1971,0,0,2020,16.559686030759423
BR_0637,1979,1979,0,0,2003,16.537652402581877
BR_0386,1887,1887,11,11,1916,16.378228185709713
BR_0201,1922,1922,1,1,1971,16.205187559330852
BR_0474,1836,1836,12,12,1888,16.08863528444609
BR_0409,1912,1912,2,2,1936,16.086803519331077
BR_0410,1916,1916,0,0,1939,16.009482827316916
BR_0615,1910,1910,0,0,1933,15.959518686747948
BR_0412,1864,1864,0,0,1887,15.57646027571918
BR_0411,1854,1854,1,1,1878,15.55027481727969
BR_0616,1839,1839,0,0,1862,15.368276356681807
BR_0398,1744,1744,0,0,1774,14.60200015937525
BR_0414,1722,1722,4,4,1742,14.597505357253272
BR_0617,1744,1744,0,0,1765,14.570085265758227
BR_0638,1731,1731,0,0,1752,14.461829627858794
BR_0413,1716,1716,2,2,1738,14.447549395496507
BR_0212,1708,1708,0,0,1772,14.422782691847956
BR_0183,1701,1701,0,0,1768,14.375129492389833
BR_0465,1567,1567,24,24,1586,14.374059157624353
BR_0184,1682,1682,0,0,1749,14.216909713921428
BR_0182,1678,1678,0,0,1745,14.183600286875448
BR_0626,1669,1669,0,0,1701,13.984540600844689
BR_0399,1667,1667,0,0,1696,13.95724758944936
BR_0360,422,422,192,192,439,13.827201127757114
BR_0374,1404,1404,32,32,1425,13.452128283159666
BR_0174,1568,1568,0,0,1602,13.150569766515261
BR_0175,1567,1567,0,0,1601,13.142242409753765
BR_0181,1534,1534,0,0,1599,12.977368714638615
BR_0359,1058,1058,71,71,1082,12.66963952705723
BR_0298,1500,1500,0,0,1529,12.566579010279703
BR_0395,1457,1457,4,4,1511,12.511323191343639
BR_0625,1137,1137,55,55,1164,12.481466850932811
BR_0400,1483,1483,0,0,1513,12.42856004462507
BR_0277,756,756,111,111,788,12.32482697479915
BR_0389,1458,1458,0,0,1488,12.220376125587697
BR_0639,1344,1344,18,18,1365,12.20289873908447
BR_0466,1455,1455,0,0,1470,12.14220256594151
BR_0254,342,342,169,169,355,11.91536196232679
BR_0420,1387,1387,0,0,1409,11.600765001195313
BR_0537,1383,1383,0,0,1408,11.578093872021675
BR_0480,1378,1378,0,0,1407,11.55064148537732
BR_0440,1379,1379,0,0,1398,11.523507849231013
BR_0180,1355,1355,0,0,1421,11.490317953621805
BR_0538,1370,1370,0,0,1397,11.4769304327038
BR_0419,1365,1365,0,0,1386,11.414017053151646
BR_0640,1359,1359,0,0,1376,11.349868515419555
BR_0606,1347,1347,0,0,1378,11.299585624352538
BR_0179,1298,1298,0,0,1364,11.015658618216593
BR_0185,1298,1298,0,0,1363,11.012112518925811
BR_0539,1306,1306,1,1,1329,10.983337212689683
BR_0237,399,399,140,140,416,10.85148740823944
BR_0218,1278,1278,0,0,1343,10.845565383695913
BR_0219,1250,1250,0,0,1304,10.573392302175474
BR_0177,1235,1235,0,0,1301,10.49103514224241
BR_0178,1219,1219,0,0,1283,10.35070523547693
BR_0442,1231,1231,0,0,1252,10.298151247111324
BR_0591,1218,1218,0,0,1241,10.196987807793448
BR_0195,1187,1187,0,0,1238,10.03813052832895
BR_0589,1185,1185,0,0,1209,9.925731133954898
BR_0443,1152,1152,5,5,1173,9.908000112376616
BR_0196,1158,1158,0,0,1207,9.789544983664037
BR_0641,1169,1169,0,0,1190,9.781855127898638
BR_0588,1146,1146,0,0,1168,9.593872021675034
BR_0433,1112,1112,4,4,1140,9.5461865270676
BR_0116,170,170,149,149,177,9.390939805911403
BR_0599,1045,1045,9,9,1080,9.280786368506295
BR_0306,1103,1103,0,0,1115,9.20033468802295
BR_0580,628,628,72,72,652,9.142418129499085
BR_0186,1079,1079,0,0,1127,9.128137700215158
BR_0305,1083,1083,0,0,1095,9.033787552793052
BR_0527,1064,1064,1,1,1082,8.950386379954008
BR_0456,961,961,14,14,1000,8.863182847127234
BR_0526,1056,1056,0,0,1074,8.830225515977368
BR_0590,995,995,8,8,1015,8.757685031185169
BR_0451,224,224,127,127,227,8.648508456406079
BR_0632,892,892,21,21,925,8.642112704032154
BR_0394,996,996,4,4,1036,8.62276633422355
BR_0253,140,140,138,138,144,8.541518696462749
